country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,beer_litres,spirit_litres,wine_litres,other_litres,beer_share,spirit_share,wine_share,other_share
Brazil,245,145,16,7.2,4.3473045,2.5728974,0.28390656,0.0,0.60,0.36,0.04,0.00
Brunei,31,2,1,0.6,0.5500671,0.03548824,0.01774416,0.0,0.92,0.06,0.03,-0.01
Bulgaria,231,252,94,10.3,4.0988871,4.47151824,1.66795104,0.1,0.40,0.43,0.16,0.01
Burkina Faso,25,7,7,4.3,0.4436025,0.12420884,0.12420912,3.6,0.10,0.03,0.03,0.84
Burundi,88,0,0,6.3,1.5614808,0,0,4.7,0.25,0.00,0.00,0.75
Cabo Verde,144,56,16,4,2.5551504,0.99367072,0.28390656,0.2,0.64,0.25,0.07,0.04
Cambodia,57,65,1,2.2,1.0114137,1.1533678,0.01774416,0.0,0.46,0.52,0.01,0.01
Cameroon,147,1,4,5.8,2.6083827,0.01774412,0.07097664,3.1,0.45,0.00,0.01,0.53
Canada,240,122,100,8.2,4.258584,2.16478264,1.774416,0.0,0.52,0.26,0.22,0.00
Central African Republic,17,2,1,1.8,0.3016497,0.03548824,0.01774416,1.4,0.17,0.02,0.01,0.80
Chad,15,1,1,0.4,0.2661615,0.01774412,0.01774416,0.1,0.67,0.04,0.04,0.25
Chile,130,124,172,7.6,2.306733,2.20027088,3.05199552,0.0,0.30,0.29,0.40,0.01
China,79,192,8,5,1.4017839,3.40687104,0.14195328,0.0,0.28,0.68,0.03,0.01
Colombia,159,76,3,4.2,2.8213119,1.34855312,0.05323248,0.0,0.67,0.32,0.01,-0.01
Comoros,1,3,1,0.1,0.0177441,0.05323236,0.01774416,0.0,0.18,0.53,0.18,0.11
Congo,76,1,9,1.7,1.3485516,0.01774412,0.15969744,0.2,0.79,0.01,0.09,0.10
Cook Islands,0,254,74,5.9,0,4.50700648,1.31306784,0.1,0.00,0.76,0.22,0.01
Costa Rica,149,87,11,4.4,2.6438709,1.54373844,0.19518576,0.0,0.60,0.35,0.04,0.00
Cote d'Ivoire,37,1,7,4,0.6565317,0.01774412,0.12420912,3.2,0.16,0.00,0.03,0.80
Croatia,230,87,254,10.2,4.081143,1.54373844,4.50701664,0.1,0.40,0.15,0.44,0.01
Cuba,93,137,5,4.2,1.6502013,2.43094444,0.0887208,0.0,0.39,0.58,0.02,0.01
Cyprus,192,154,113,8.2,3.4068672,2.73259448,2.00509008,0.1,0.42,0.33,0.24,0.01
Czech Republic,361,170,134,11.8,6.4056201,3.0165004,2.37771744,0.0,0.54,0.26,0.20,0.00
Denmark,224,81,278,10.4,3.9746784,1.43727372,4.93287648,0.1,0.38,0.14,0.47,0.01
Djibouti,15,44,3,1.1,0.2661615,0.78074128,0.05323248,0.0,0.24,0.71,0.05,0.00
Dominica,52,286,26,6.6,0.9226932,5.07481832,0.46134816,0.1,0.14,0.77,0.07,0.02
Dominican Republic,193,147,9,6.2,3.4246113,2.60838564,0.15969744,0.0,0.55,0.42,0.03,0.00
DR Congo,32,3,1,2.3,0.5678112,0.05323236,0.01774416,1.7,0.25,0.02,0.01,0.72
Ecuador,162,74,3,4.2,2.8745442,1.31306488,0.05323248,0.0,0.68,0.31,0.01,-0.01
Egypt,6,4,1,0.2,0.1064646,0.07097648,0.01774416,0.0,0.53,0.35,0.09,0.02
El Salvador,52,69,2,2.2,0.9226932,1.22434428,0.03548832,0.0,0.42,0.56,0.02,0.01
Equatorial Guinea,92,0,233,5.8,1.6324572,0,4.13438928,0.0,0.28,0.00,0.71,0.01
Eritrea,18,0,0,0.5,0.3193938,0,0,0.2,0.64,0.00,0.00,0.36
Estonia,224,194,59,9.5,3.9746784,3.44235928,1.04690544,1.0,0.42,0.36,0.11,0.11
Ethiopia,20,3,0,0.7,0.354882,0.05323236,0,0.3,0.51,0.08,0.00,0.42
Fiji,77,35,1,2,1.3662957,0.6210442,0.01774416,0.0,0.68,0.31,0.01,0.00
Finland,263,133,97,10,4.6666983,2.35996796,1.72118352,1.3,0.47,0.24,0.17,0.13
France,127,151,370,11.8,2.2535007,2.67936212,6.5653392,0.3,0.19,0.23,0.56,0.03
Gabon,347,98,59,8.9,6.1572027,1.73892376,1.04690544,0.0,0.69,0.20,0.12,0.00
Gambia,8,0,1,2.4,0.1419528,0,0.01774416,2.2,0.06,0.00,0.01,0.93
Georgia,52,100,149,5.4,0.9226932,1.774412,2.64387984,0.1,0.17,0.33,0.49,0.01
Germany,346,117,175,11.3,6.1394586,2.07606204,3.105228,0.0,0.54,0.18,0.27,0.00
Ghana,31,3,10,1.8,0.5500671,0.05323236,0.1774416,1.0,0.31,0.03,0.10,0.57
Greece,133,112,218,8.3,2.3599653,1.98734144,3.86822688,0.1,0.28,0.24,0.47,0.01
Grenada,199,438,28,11.9,3.5310759,7.77192456,0.49683648,0.1,0.30,0.65,0.04,0.01
Guatemala,53,69,2,2.2,0.9404373,1.22434428,0.03548832,0.0,0.43,0.56,0.02,0.00
Guinea,9,0,2,0.2,0.1596969,0,0.03548832,0.0,0.80,0.00,0.18,0.02
Guinea-Bissau,28,31,21,2.5,0.4968348,0.55006772,0.37262736,1.1,0.20,0.22,0.15,0.43
Guyana,93,302,1,7.1,1.6502013,5.35872424,0.01774416,0.1,0.23,0.75,0.00,0.01
Haiti,1,326,1,5.9,0.0177441,5.78458312,0.01774416,0.1,0.00,0.98,0.00,0.01
Honduras,69,98,2,3,1.2243429,1.73892376,0.03548832,0.0,0.41,0.58,0.01,0.00
Hungary,234,215,185,11.3,4.1521194,3.8149858,3.2826696,0.1,0.37,0.34,0.29,0.00
Iceland,233,61,78,6.6,4.1343753,1.08239132,1.38404448,0.0,0.63,0.16,0.21,0.00
India,9,114,0,2.2,0.1596969,2.02282968,0,0.0,0.07,0.92,0.00,0.01
Indonesia,5,1,0,0.1,0.0887205,0.01774412,0,0.0,0.89,0.18,0.00,-0.06
Iran,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Iraq,9,3,0,0.2,0.1596969,0.05323236,0,0.0,0.80,0.27,0.00,-0.06
Ireland,313,118,165,11.4,5.5539033,2.09380616,2.9277864,0.8,0.49,0.18,0.26,0.07
Israel,63,69,9,2.5,1.1178783,1.22434428,0.15969744,0.0,0.45,0.49,0.06,0.00
Italy,85,42,237,6.5,1.5082485,0.74525304,4.20536592,0.0,0.23,0.11,0.65,0.01
Jamaica,82,97,9,3.4,1.4550162,1.72117964,0.15969744,0.1,0.43,0.51,0.05,0.02
Japan,77,202,16,7,1.3662957,3.58431224,0.28390656,1.8,0.20,0.51,0.04,0.25
Jordan,6,21,1,0.5,0.1064646,0.37262652,0.01774416,0.0,0.21,0.75,0.04,0.01
Kazakhstan,124,246,12,6.8,2.2002684,4.36505352,0.21292992,0.0,0.32,0.64,0.03,0.00
Kenya,58,22,2,1.8,1.0291578,0.39037064,0.03548832,0.3,0.57,0.22,0.02,0.19
Kiribati,21,34,1,1,0.3726261,0.60330008,0.01774416,0.0,0.37,0.60,0.02,0.01
Kuwait,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kyrgyzstan,31,97,6,2.4,0.5500671,1.72117964,0.10646496,0.0,0.23,0.72,0.04,0.01
Laos,62,0,123,6.2,1.1001342,0,2.18253168,2.9,0.18,0.00,0.35,0.47
Latvia,281,216,62,10.5,4.9860921,3.83272992,1.10013792,0.6,0.47,0.37,0.10,0.06
Lebanon,20,55,31,1.9,0.354882,0.9759266,0.55006896,0.0,0.19,0.51,0.29,0.01
Lesotho,82,29,0,2.8,1.4550162,0.51457948,0,0.8,0.52,0.18,0.00,0.30
Liberia,19,152,2,3.1,0.3371379,2.69710624,0.03548832,0.0,0.11,0.87,0.01,0.01
Libya,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lithuania,343,244,56,12.9,6.0862263,4.32956528,0.99367296,1.5,0.47,0.34,0.08,0.12
Luxembourg,236,133,271,11.4,4.1876076,2.35996796,4.80866736,0.0,0.37,0.21,0.42,0.00
Macedonia,106,27,86,3.9,1.8808746,0.47909124,1.52599776,0.0,0.48,0.12,0.39,0.00
Madagascar,26,15,4,0.8,0.4613466,0.2661618,0.07097664,0.0,0.58,0.33,0.09,0.00
Malawi,8,11,1,1.5,0.1419528,0.19518532,0.01774416,1.1,0.09,0.13,0.01,0.76
Malaysia,13,4,0,0.3,0.2306733,0.07097648,0,0.0,0.77,0.24,0.00,-0.01
Maldives,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mali,5,1,1,0.6,0.0887205,0.01774412,0.01774416,0.5,0.15,0.03,0.03,0.79
Malta,149,100,120,6.6,2.6438709,1.774412,2.1292992,0.1,0.40,0.27,0.32,0.01
Marshall Islands,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mauritania,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mauritius,98,31,18,2.6,1.7389218,0.55006772,0.31939488,0.0,0.67,0.21,0.12,0.00
Mexico,238,68,5,5.5,4.2230958,1.20660016,0.0887208,0.0,0.77,0.22,0.02,0.00
Micronesia,62,50,18,2.3,1.1001342,0.887206,0.31939488,0.0,0.48,0.39,0.14,0.00
Moldova,109,226,18,6.3,1.9341069,4.01017112,0.31939488,0.0,0.31,0.64,0.05,0.01
Monaco,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mongolia,77,189,8,4.9,1.3662957,3.35363868,0.14195328,0.0,0.28,0.68,0.03,0.01
Montenegro,31,114,128,4.9,0.5500671,2.02282968,2.27125248,0.1,0.11,0.41,0.46,0.01
Morocco,12,6,10,0.5,0.2129292,0.10646472,0.1774416,0.0,0.43,0.21,0.35,0.01
Mozambique,47,18,5,1.3,0.8339727,0.31939416,0.0887208,0.1,0.64,0.25,0.07,0.04
Myanmar,5,1,0,0.1,0.0887205,0.01774412,0,0.0,0.89,0.18,0.00,-0.06
Namibia,376,3,1,6.8,6.6717816,0.05323236,0.01774416,0.1,0.98,0.01,0.00,0.01
Nauru,49,0,8,1,0.8694609,0,0.14195328,0.0,0.87,0.00,0.14,-0.01
Nepal,5,6,0,0.2,0.0887205,0.10646472,0,0.0,0.44,0.53,0.00,0.02
Netherlands,251,88,190,9.4,4.4537691,1.56148256,3.3713904,0.0,0.47,0.17,0.36,0.00
New Zealand,203,79,175,9.3,3.6020523,1.40178548,3.105228,1.2,0.39,0.15,0.33,0.13
Nicaragua,78,118,1,3.5,1.3840398,2.09380616,0.01774416,0.0,0.40,0.60,0.01,0.00
Niger,3,2,1,0.1,0.0532323,0.03548824,0.01774416,0.0,0.53,0.35,0.18,-0.06
Nigeria,42,5,2,9.1,0.7452522,0.0887206,0.03548832,8.2,0.08,0.01,0.00,0.90
Niue,188,200,7,7,3.3358908,3.548824,0.12420912,0.0,0.48,0.51,0.02,0.00
North Korea,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Norway,169,71,129,6.7,2.9987529,1.25983252,2.28899664,0.2,0.45,0.19,0.34,0.02
Oman,22,16,1,0.7,0.3903702,0.28390592,0.01774416,0.0,0.56,0.41,0.03,0.01
Pakistan,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Palau,306,63,23,6.9,5.4296946,1.11787956,0.40811568,0.0,0.79,0.16,0.06,0.00
Panama,285,104,18,7.2,5.0570685,1.84538848,0.31939488,0.0,0.70,0.26,0.04,0.00
Papua New Guinea,44,39,1,1.5,0.7807404,0.69202068,0.01774416,0.0,0.52,0.46,0.01,0.01
Paraguay,213,117,74,7.3,3.7794933,2.07606204,1.31306784,0.1,0.52,0.28,0.18,0.02
Peru,163,160,21,6.1,2.8922883,2.8390592,0.37262736,0.0,0.47,0.47,0.06,0.00
Philippines,71,186,1,4.6,1.2598311,3.30040632,0.01774416,0.0,0.27,0.72,0.00,0.00
Poland,343,215,56,10.9,6.0862263,3.8149858,0.99367296,0.0,0.56,0.35,0.09,0.00
Portugal,194,67,339,11,3.4423554,1.18885604,6.01527024,0.4,0.31,0.11,0.55,0.03
Qatar,1,42,7,0.9,0.0177441,0.74525304,0.12420912,0.0,0.02,0.83,0.14,0.01
Romania,297,122,167,10.4,5.2699977,2.16478264,2.96327472,0.0,0.51,0.21,0.28,0.00
Russian Federation,247,326,73,11.5,4.3827927,5.78458312,1.29532368,0.0,0.38,0.50,0.11,0.00
Rwanda,43,2,0,6.8,0.7629963,0.03548824,0,6.0,0.11,0.01,0.00,0.88
Samoa,105,18,24,2.6,1.8631305,0.31939416,0.42585984,0.0,0.72,0.12,0.16,0.00
San Marino,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sao Tome & Principe,56,38,140,4.2,0.9936696,0.67427656,2.4841824,0.0,0.24,0.16,0.59,0.01
Saudi Arabia,0,5,0,0.1,0,0.0887206,0,0.0,0.00,0.89,0.00,0.11
Senegal,9,1,7,0.3,0.1596969,0.01774412,0.12420912,0.0,0.53,0.06,0.41,-0.01
Serbia,283,131,127,9.6,5.0215803,2.32447972,2.25350832,0.0,0.52,0.24,0.23,0.00
Seychelles,157,25,51,4.1,2.7858237,0.443603,0.90495216,0.0,0.68,0.11,0.22,-0.01
Sierra Leone,25,3,2,6.7,0.4436025,0.05323236,0.03548832,6.2,0.07,0.01,0.01,0.92
Singapore,60,12,11,1.5,1.064646,0.21292944,0.19518576,0.0,0.71,0.14,0.13,0.02
Slovakia,196,293,116,11.4,3.4778436,5.19902716,2.05832256,0.7,0.31,0.46,0.18,0.06
Slovenia,270,51,276,10.6,4.790907,0.90495012,4.89738816,0.0,0.45,0.09,0.46,0.00
Solomon Islands,56,11,1,1.2,0.9936696,0.19518532,0.01774416,0.0,0.83,0.16,0.01,-0.01
Somalia,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
South Africa,225,76,81,8.2,3.9924225,1.34855312,1.43727696,1.4,0.49,0.16,0.18,0.17
South Korea,140,16,9,9.8,2.484174,0.28390592,0.15969744,6.9,0.25,0.03,0.02,0.70
Spain,284,157,112,10,5.0393244,2.78582684,1.98734592,0.2,0.50,0.28,0.20,0.02
Sri Lanka,16,104,0,2.2,0.2839056,1.84538848,0,0.1,0.13,0.84,0.00,0.03
St. Kitts & Nevis,194,205,32,7.7,3.4423554,3.6375446,0.56781312,0.1,0.45,0.47,0.07,0.01
St. Lucia,171,315,71,10.1,3.0342411,5.5893978,1.25983536,0.2,0.30,0.55,0.12,0.02
St. Vincent & the Grenadines,120,221,11,6.3,2.129292,3.92145052,0.19518576,0.1,0.34,0.62,0.03,0.01
Sudan,8,13,0,1.7,0.1419528,0.23067356,0,1.3,0.08,0.14,0.00,0.78
Suriname,128,178,7,5.6,2.2712448,3.15845336,0.12420912,0.0,0.41,0.56,0.02,0.01
Swaziland,90,2,2,4.7,1.596969,0.03548824,0.03548832,3.0,0.34,0.01,0.01,0.65
Sweden,152,60,186,7.2,2.6971032,1.0646472,3.30041376,0.1,0.37,0.15,0.46,0.02
Switzerland,185,100,280,10.2,3.2826585,1.774412,4.9683648,0.2,0.32,0.17,0.49,0.02
Syria,5,35,16,1,0.0887205,0.6210442,0.28390656,0.0,0.09,0.62,0.28,0.01
Tajikistan,2,15,0,0.3,0.0354882,0.2661618,0,0.0,0.12,0.89,0.00,-0.01
Tanzania,36,6,1,5.7,0.6387876,0.10646472,0.01774416,4.9,0.11,0.02,0.00,0.87
Thailand,99,258,1,6.4,1.7566659,4.57798296,0.01774416,0.0,0.27,0.72,0.00,0.01
Timor-Leste,1,1,4,0.1,0.0177441,0.01774412,0.07097664,0.0,0.18,0.18,0.71,-0.06
Togo,36,2,19,1.3,0.6387876,0.03548824,0.33713904,0.3,0.49,0.03,0.26,0.22
Tonga,36,21,5,1.1,0.6387876,0.37262652,0.0887208,0.0,0.58,0.34,0.08,0.00
Trinidad & Tobago,197,156,7,6.4,3.4955877,2.76808272,0.12420912,0.0,0.55,0.43,0.02,0.00
Tunisia,51,3,20,1.3,0.9049491,0.05323236,0.3548832,0.0,0.70,0.04,0.27,-0.01
Turkey,51,22,7,1.4,0.9049491,0.39037064,0.12420912,0.0,0.65,0.28,0.09,-0.01
Turkmenistan,19,71,32,2.2,0.3371379,1.25983252,0.56781312,0.0,0.15,0.57,0.26,0.02
Tuvalu,6,41,9,1,0.1064646,0.72750892,0.15969744,0.0,0.11,0.73,0.16,0.01
Uganda,45,9,0,8.3,0.7984845,0.15969708,0,7.3,0.10,0.02,0.00,0.88
Ukraine,206,237,45,8.9,3.6552846,4.20535644,0.7984872,0.2,0.41,0.47,0.09,0.03
United Arab Emirates,16,135,5,2.8,0.2839056,2.3954562,0.0887208,0.0,0.10,0.86,0.03,0.01
United Kingdom,219,126,195,10.4,3.8859579,2.23575912,3.4601112,0.8,0.37,0.21,0.33,0.08
Uruguay,115,35,220,6.6,2.0405715,0.6210442,3.9037152,0.0,0.31,0.09,0.59,0.01
USA,249,158,84,8.7,4.4182809,2.80357096,1.49050944,0.0,0.51,0.32,0.17,0.00
Uzbekistan,25,101,8,2.4,0.4436025,1.79215612,0.14195328,0.0,0.18,0.75,0.06,0.01
Vanuatu,21,18,11,0.9,0.3726261,0.31939416,0.19518576,0.0,0.41,0.35,0.22,0.01
Venezuela,333,100,3,7.7,5.9087853,1.774412,0.05323248,0.0,0.77,0.23,0.01,0.00
Vietnam,111,2,1,2,1.9695951,0.03548824,0.01774416,0.0,0.98,0.02,0.01,-0.01
Yemen,6,0,0,0.1,0.1064646,0,0,0.0,1.06,0.00,0.00,-0.06
Zambia,32,19,4,2.5,0.5678112,0.33713828,0.07097664,1.5,0.23,0.13,0.03,0.61
Zimbabwe,64,18,4,4.7,1.1356224,0.31939416,0.07097664,3.2,0.24,0.07,0.02,0.68
